model,scenario,region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,9307.491637,9902.316951,7497.662666,6358.03589,4498.627697,2472.044553,691.6343127,-766.5000707,-2015.066649,-3287.107553
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2853.628949,3229.288598,3328.688976,3520.320441,3068.43732,2157.42112,1180.381093,489.6018883,180.1212697,63.89972562
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial and Industry,Mt CO2/yr,12161.12059,13131.60555,10826.35164,9878.356331,7567.065017,4629.465672,1872.015405,-276.8981825,-1834.94538,-3223.207827
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,7186.601331,7817.916802,8006.586812,8444.498562,8433.513798,7720.457502,6558.606007,4974.697964,3487.8306,2173.923708
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,13299.25912,16115.05788,12963.69806,8081.023084,2274.277668,-2814.448903,-6406.901983,-8864.436672,-11126.37489,-13817.23004
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,11668.83116,14046.915,11374.6215,6890.267251,1895.446516,-1002.501958,-2208.238808,-2589.981614,-3144.825856,-4693.83935
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Land Use,Mt CO2/yr,3128.451586,619.7807303,-12488.50219,-15823.98906,-15012.15102,-10169.07117,-6359.159552,-4254.342996,-3490.337605,-2807.649399
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,1813.315031,2359.211229,4082.939136,5884.499969,8613.684277,11735.3916,13786.1565,15216.26709,17014.18499,19645.57958
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Carbon Capture and Storage|Biomass,Mt CO2/yr,0,45.39517814,473.7494944,1039.541784,2339.604817,4991.814602,7505.219507,9436.110044,11361.07806,13923.20397
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy,Mt CO2/yr,0,45.39517814,473.7494944,1039.541784,2339.604817,4991.814602,7505.219507,9436.110044,11361.07806,13923.20397
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Supply,Mt CO2/yr,0,44.7832906,467.5038787,1022.027553,2288.154161,4917.920327,7417.080365,9331.71851,11157.62568,13504.20998
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Supply|Electricity,Mt CO2/yr,0,6.751338147,116.3570378,358.8545256,1111.283743,1970.598471,2519.52746,2723.601738,3152.593512,4700.223085
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Industrial Processes,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Carbon Capture and Storage|Fossil,Mt CO2/yr,1813.315031,2313.816051,3609.189642,4844.958186,6274.07946,6743.576994,6280.936992,5780.157051,5653.106933,5722.375618
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy,Mt CO2/yr,1813.315031,2251.816114,3285.434659,4352.708561,5550.241149,5934.491607,5461.896066,5026.247972,5005.269252,5195.687964
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Demand|Industry,Mt CO2/yr,1813.315031,2172.428209,2463.958563,2757.670085,3005.074314,3276.431503,3646.826017,4074.083245,4600.524179,5087.499157
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Supply,Mt CO2/yr,0,77.27069483,807.9391568,1564.135406,2480.875787,2584.925557,1746.462814,893.3230839,366.845677,90.86496602
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Supply|Electricity,Mt CO2/yr,0,59.08179528,733.0055581,1488.328954,2425.054599,2550.621364,1735.660449,890.3660939,366.0969368,90.72419901
GCAM4,SSP1-19-SPA1-V18,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Industrial Processes,Mt CO2/yr,0,61.99993727,323.7549832,492.2496249,723.8383104,809.085387,819.040926,753.909079,647.8376813,526.6876534
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2,Mt CO2/yr,35775.42846,39892.5593,46337.38079,24661.77147,4013.386335,-4440.896938,-6551.907095,-11175.74103,-17078.98655,-24018.22941
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,32646.97688,39299.85336,46551.01783,24570.65225,14291.4583,6695.744908,-21.73518974,-7151.086656,-14320.24823,-22369.51343
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,19347.7186,22057.70576,25062.8113,18103.74226,15815.38402,13066.3522,9847.049735,6208.131373,3196.794875,1123.080507
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,9307.491637,10277.85729,11429.51308,5667.436029,4008.677811,2352.008466,708.7099793,-863.5849909,-2188.126249,-3056.345862
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2853.628942,3376.627264,3969.057597,2784.698624,2390.737831,1828.278175,1142.639989,563.5114122,244.5306542,104.549592
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial and Industry,Mt CO2/yr,12161.12058,13654.48456,15398.57068,8452.134653,6399.415643,4180.286641,1851.349968,-300.0735787,-1943.595595,-2951.79627
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,7186.598105,8403.221337,9664.240732,9651.608046,9415.969861,8886.067372,7995.70183,6508.210591,5140.393399,4074.880799
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,13299.25908,17242.14851,21488.20785,6466.912092,-1523.924214,-6370.607235,-9868.784739,-13359.21791,-17517.04306,-23492.59393
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,11668.83113,14995.07985,17600.89497,4495.600862,-633.5550732,-2724.145413,-3852.123508,-4766.259885,-7039.046409,-13361.01225
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Land Use,Mt CO2/yr,3128.451586,592.7059418,-213.6370382,91.11921916,-10278.07196,-11136.64185,-6530.171905,-4024.654375,-2758.738328,-1648.715984
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,1813.315031,2539.362044,3488.420595,11325.58958,17059.03747,20813.6451,23464.15587,24849.41936,26751.41668,32139.9663
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Carbon Capture and Storage|Biomass,Mt CO2/yr,0,59.35758187,169.6974472,2525.806846,5860.672878,8789.990195,11344.13,14156.90742,17644.1958,23528.20677
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy,Mt CO2/yr,0,59.35758187,169.6974472,2525.806846,5860.672878,8789.990195,11344.13,14156.90742,17644.1958,23528.20677
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Supply,Mt CO2/yr,0,58.5354686,167.8801864,2473.114334,5760.030306,8664.888124,11177.58014,13892.97847,17112.55341,22711.11834
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Supply|Electricity,Mt CO2/yr,0,10.75374997,27.61898619,1665.365983,3124.457437,3754.735412,4358.821813,4989.073172,6820.992263,13162.86408
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Industrial Processes,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Carbon Capture and Storage|Fossil,Mt CO2/yr,1813.315031,2480.004462,3318.723148,8799.782737,11198.3646,12023.65491,12120.02586,10692.51194,9107.220881,8611.759531
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy,Mt CO2/yr,1813.315031,2404.498966,3263.256058,7917.596608,10241.06199,11038.26634,11153.58213,9818.629459,8352.827314,7998.373358
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Demand|Industry,Mt CO2/yr,1813.315031,2266.581642,2790.459506,3082.938771,3585.719422,4060.462347,4600.394083,5208.336056,6035.998281,7050.757832
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Supply,Mt CO2/yr,0,134.8936454,465.7868466,4759.832486,6525.346403,6814.149425,6372.846269,4437.266109,2191.573482,892.4879689
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Supply|Electricity,Mt CO2/yr,0,106.1455066,276.8712472,4504.50336,6257.806223,6563.187278,6207.775408,4367.072187,2166.459485,884.45019
GCAM4,SSP2-26-SPA2-V17,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Industrial Processes,Mt CO2/yr,0,75.505496,55.46709007,882.186129,957.3026027,985.3885705,966.443738,873.8824846,754.393567,613.3861727
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2,Mt CO2/yr,35775.4285,41337.66281,36001.9814,9535.739855,-7452.197095,-13187.10344,-14127.61139,-18177.9647,-23522.44305,-31683.69562
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,32646.97692,39311.49776,32294.47919,12806.92501,4956.931083,-552.5154959,-6154.670297,-12900.57074,-20426.61725,-29597.02791
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,19347.71863,22065.27236,19164.59199,14505.24636,11828.34734,9073.716128,6116.01831,3131.750146,1052.063377,-677.0297098
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,9307.491637,10281.32248,7205.391565,3872.971845,2251.543677,802.7718562,-553.9291067,-1860.245589,-2852.049527,-3723.847853
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2853.628947,3378.337185,2959.925575,2264.692618,1753.352054,1151.043458,602.634978,262.6288508,106.6425545,54.59485568
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial and Industry,Mt CO2/yr,12161.12058,13659.65966,10165.31714,6137.664463,4004.895731,1953.815315,48.70587128,-1597.616739,-2745.406973,-3669.252998
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,7186.598138,8405.612763,8999.275417,8367.582493,7823.45323,7119.903656,6067.318245,4729.370271,3797.473465,2992.223866
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,13299.25908,17246.2269,13129.88862,-1698.320305,-6871.415052,-9626.231381,-12270.68833,-16032.32087,-21478.6806,-28919.99819
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,11668.83113,14998.665,11004.69433,-205.6880187,-2668.45838,-3536.449386,-4307.719947,-5960.418038,-11318.4614,-19260.1826
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Land Use,Mt CO2/yr,3128.451586,2026.165054,3707.502203,-3271.185152,-12409.12818,-12634.58794,-7972.941093,-5277.393962,-3095.825803,-2086.667703
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,1813.315031,2538.610876,6355.714892,16501.20702,21107.52203,23090.4935,23796.54904,25214.18238,29787.46967,37466.04623
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Carbon Capture and Storage|Biomass,Mt CO2/yr,0,58.84055943,848.5469759,5618.543201,9167.895502,11091.76439,13145.37005,16275.85387,21523.09233,28983.55579
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy,Mt CO2/yr,0,58.84055943,848.5469759,5618.543201,9167.895502,11091.76439,13145.37005,16275.85387,21523.09233,28983.55579
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Supply,Mt CO2/yr,0,58.02530994,831.2047013,5548.255754,9044.790565,10951.95684,12950.75436,15872.62204,20737.70826,28050.69353
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Supply|Electricity,Mt CO2/yr,0,10.66128617,401.116745,2593.361438,3746.468832,4102.580068,4609.083257,5862.381179,11124.14079,19139.54958
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Industrial Processes,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Carbon Capture and Storage|Fossil,Mt CO2/yr,1813.315031,2479.770317,5507.167916,10882.66382,11939.62652,11998.72911,10651.17899,8938.328512,8264.377345,8482.49044
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy,Mt CO2/yr,1813.315031,2404.244185,4898.6308,9952.61232,10981.69376,11052.88251,9766.120803,8173.784537,7617.661796,7941.124652
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Demand|Industry,Mt CO2/yr,1813.315031,2266.061558,2638.268889,3118.600557,3625.984901,4104.994595,4657.002271,5394.421265,6467.082854,7530.175474
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Supply,Mt CO2/yr,0,135.1561562,2227.613897,6751.963119,7219.446873,6775.296784,4931.076563,2632.438802,1078.652101,383.3169984
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Supply|Electricity,Mt CO2/yr,0,106.3282403,2063.975949,6546.110147,7042.160665,6632.745164,4848.636545,2602.034313,1068.17342,382.8209376
GCAM4,SSP2-19-SPA2-V18,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Industrial Processes,Mt CO2/yr,0,75.526132,608.537116,930.0515033,957.932767,945.8466024,885.0581865,764.5439743,646.7155493,541.3657883
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2,Mt CO2/yr,35775.76253,40048.78536,23821.81049,16324.22323,11881.38324,6666.028153,-123.1214489,-10622.95596,-19091.43944,-27544.50487
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,32646.97652,38638.99782,24755.42568,16421.45918,9512.715803,1645.026937,-6162.634035,-13540.49185,-20062.83622,-27729.2775
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,19347.71867,21887.50113,17474.27846,15799.05964,13181.91708,9510.1647,5523.996054,1809.745491,-1243.265051,-3869.672167
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,9307.491633,10127.74281,6123.74045,4481.084892,2750.932688,990.0294109,-685.9061571,-2254.953589,-3845.879186,-5635.858825
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2853.628942,3354.846209,2573.609972,2251.225372,1698.325153,1044.56509,500.2813685,186.9798342,65.61241063,26.817959
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial and Industry,Mt CO2/yr,12161.12058,13482.58902,8697.350422,6732.310264,4449.25784,2034.594501,-185.6247887,-2067.973755,-3780.266775,-5609.040866
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,7186.598179,8404.912258,8776.929624,9066.75041,8732.661189,7475.573985,5709.622764,3877.721798,2537.003771,1739.370185
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,13299.25865,16751.49776,7281.148163,622.4013155,-3669.200511,-7865.137449,-11686.63006,-15350.23729,-18819.57113,-23859.60532
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,11668.83113,14591.87965,6254.022513,973.2444792,-1436.494169,-2836.739147,-3875.595497,-4966.988558,-6339.143687,-10177.09888
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Land Use,Mt CO2/yr,3128.786018,1409.787543,-933.6151847,-97.23595125,2368.667435,5021.001216,6039.512586,2917.535882,971.3967796,184.7726311
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,1813.315031,2566.112191,9776.825449,15773.64144,20061.98098,23252.74675,24568.90885,24992.35664,26883.71784,31790.89516
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Carbon Capture and Storage|Biomass,Mt CO2/yr,0,63.44784384,1558.426104,3650.670817,6237.648239,9532.67733,12663.30132,15684.99854,18705.2891,23713.46751
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy,Mt CO2/yr,0,63.44784384,1558.426104,3650.670817,6237.648239,9532.67733,12663.30132,15684.99854,18705.2891,23713.46751
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Supply,Mt CO2/yr,0,62.48258885,1538.06465,3599.20948,6130.921287,9381.632822,12447.2518,15362.5341,18200.68578,22699.98971
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Supply|Electricity,Mt CO2/yr,0,12.2237896,729.1897416,1662.865083,2662.915034,3540.312209,4283.838783,5019.357702,6097.97646,9981.045073
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Carbon Capture and Storage|Biomass|Industrial Processes,Mt CO2/yr,0,0,0,0,0,0,0,0,0,0
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Carbon Capture and Storage|Fossil,Mt CO2/yr,1813.315031,2502.664347,8218.399344,12122.97062,13824.33274,13720.06942,11905.60753,9307.358098,8178.428743,8077.427652
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy,Mt CO2/yr,1813.315031,2416.63309,7439.888267,11191.45971,12853.81635,12785.57099,11043.09753,8529.950364,7490.135778,7478.544697
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Demand|Industry,Mt CO2/yr,1813.315031,2257.695563,2649.200853,3099.167329,3518.002472,3917.256896,4365.899633,4926.007998,5668.613574,6754.453898
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Supply,Mt CO2/yr,0,155.3173708,4748.617205,8000.90043,9181.492989,8671.681254,6464.739163,3395.636136,1657.447757,634.4282948
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Supply|Electricity,Mt CO2/yr,0,124.4913709,4522.002241,7625.123807,8766.130472,8251.453254,6164.040141,3213.491893,1566.508089,579.767037
GCAM4,SSP4-26-SPA4-V17,World,Emissions|CO2|Carbon Capture and Storage|Fossil|Industrial Processes,Mt CO2/yr,0,86.03125703,778.5110777,931.51091,970.516393,934.4984257,862.51,777.4077337,688.2929643,598.882955
